Year,Component,Value
2015,Natural increase,154285
2015,Net overseas migration,181080
2016,Natural increase,151267
2016,Net overseas migration,195976
2017,Natural increase,150436
2017,Net overseas migration,259585
2018,Natural increase,142279
2018,Net overseas migration,237997
2019,Natural increase,143667
2019,Net overseas migration,250669
2020,Natural increase,136444
2020,Net overseas migration,239245
2021,Natural increase,136468
2021,Net overseas migration,-94326
2022,Natural increase,133565
2022,Net overseas migration,131018
2023,Natural increase,105492
2023,Net overseas migration,495833
2024,Natural increase,105392
2024,Net overseas migration,493823
2025,Natural increase,107433
2025,Net overseas migration,310493